costs by tech and input: sector: TRY_ELEC
scenario	region	sector	subsector	input	technology	1990	2005	2010	2015	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2080	2095	Units	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	N fertilizer	coal	non-energy	coal	0.1977	0.1977	0.1977	0.1977	0.1977	0.1977	0.1977	0.1977	0.1977	0.1977	0.1977	0.1977	0.1977	0.1977	0.1977	0.0	0.0	1975$/kgN	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	N fertilizer	coal	non-energy	coal CCS	0.2173	0.2173	0.2173	0.2173	0.2173	0.2173	0.2173	0.2173	0.2173	0.2173	0.2173	0.2173	0.2173	0.2173	0.2173	0.0	0.0	1975$/kgN	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	N fertilizer	gas	non-energy	gas	0.1393	0.1393	0.1393	0.1393	0.1393	0.1393	0.1393	0.1393	0.1393	0.1393	0.1393	0.1393	0.1393	0.1393	0.1393	0.0	0.0	1975$/kgN	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	N fertilizer	gas	non-energy	gas CCS	0.1641	0.1641	0.1641	0.1641	0.1641	0.1641	0.1641	0.1641	0.1641	0.1641	0.1641	0.1641	0.1641	0.1641	0.1641	0.0	0.0	1975$/kgN	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	N fertilizer	hydrogen	non-energy	hydrogen	0.1199	0.1199	0.1199	0.1199	0.1199	0.1199	0.1199	0.1199	0.1199	0.1199	0.1199	0.1199	0.1199	0.1199	0.1199	0.0	0.0	1975$/kgN	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	N fertilizer	refined liquids	non-energy	refined liquids	-0.05	-0.05	-0.05	-0.05	-0.05	-0.05	-0.05	-0.05	-0.05	-0.05	-0.05	-0.05	-0.05	-0.05	-0.05	0.0	0.0	1975$/kgN	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	cement	cement	non-energy	cement	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.0	0.0	1975$/kg	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	cement	cement	non-energy	cement CCS	0.0105	0.0105	0.0105	0.0105	0.0105	0.0105	0.0105	0.0105	0.0105	0.0105	0.0105	0.0105	0.0105	0.0105	0.0105	0.0	0.0	1975$/kg	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	electricity	biomass	capital	biomass (IGCC CCS)	14.1176	14.1176	14.1176	14.1176	13.299	12.6348	12.0891	11.6411	11.2704	10.9718	10.7195	10.5084	10.3385	10.1943	10.0759	0.0	0.0	1975$/GJ	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	electricity	biomass	capital	biomass (IGCC)	9.57136	9.57136	9.57136	9.57136	9.16462	8.81966	8.51588	8.2636	8.04221	7.85171	7.68695	7.54794	7.42952	7.32654	7.23902	0.0	0.0	1975$/GJ	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	electricity	biomass	capital	biomass (conv CCS)	12.2847	12.2847	12.2847	12.2847	11.672	11.1829	10.7916	10.4775	10.2201	10.0141	9.83909	9.69493	9.57651	9.47354	9.38601	0.0	0.0	1975$/GJ	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	electricity	biomass	capital	biomass (conv)	6.37919	6.37919	6.37919	2.84965	2.84965	2.84965	2.84965	2.84965	2.84965	2.84965	2.84965	2.84965	2.84965	2.84965	2.84965	0.0	0.0	1975$/GJ	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	electricity	coal	capital	coal (IGCC CCS)	6.88376	6.88376	6.88376	6.88376	6.87346	5.86432	4.97361	4.9942	4.94786	4.94786	4.94786	4.94786	4.94786	4.94786	4.94786	0.0	0.0	1975$/GJ	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	electricity	coal	capital	coal (IGCC)	4.90152	4.90152	4.90152	4.90152	8.31707	8.31707	2.91736	2.91736	2.91736	2.91736	2.91736	2.91736	2.91736	2.91736	2.91736	0.0	0.0	1975$/GJ	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	electricity	coal	capital	coal (conv pul CCS)	9.25214	9.25214	9.25214	9.25214	7.47288	7.47288	7.47288	7.47288	7.47288	7.47288	7.47288	9.25214	7.16694	7.08971	7.02277	0.0	0.0	1975$/GJ	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	electricity	coal	capital	coal (conv pul)	3.74268	3.74268	3.07731	2.54524	2.54524	2.53174	2.53174	2.53174	2.53174	2.53174	2.53174	2.53174	2.53174	2.53174	2.53174	0.0	0.0	1975$/GJ	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	electricity	gas	capital	gas (CC CCS)	3.0789	3.0789	3.0789	3.0789	2.92959	2.78543	2.63611	2.4868	2.33749	2.33749	2.33749	2.33749	2.33749	2.33749	2.33749	0.0	0.0	1975$/GJ	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	electricity	gas	capital	gas (CC)	1.3644	1.3644	1.37232	4.86417	4.86367	2.70915	2.70861	2.70822	2.70762	2.70747	2.70722	2.7078	2.70901	2.71042	2.71173	0.0	0.0	1975$/GJ	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	electricity	gas	capital	gas (steam/CT)	2.36205	2.36205	2.36205	6.29879	25.3473	25.3473	25.3473	25.3473	25.3473	25.3473	25.3473	25.3473	25.3473	25.3473	25.3473	0.0	0.0	1975$/GJ	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	electricity	geothermal	capital	geothermal	6.23789	6.23789	6.23789	6.23789	6.16466	6.09144	6.02279	5.95414	5.89464	5.83515	5.77565	5.72073	5.67039	5.62463	5.57886	0.0	0.0	1975$/GJ	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	electricity	nuclear	capital	Gen_III	6.23789	6.23789	6.23789	3.70575	3.67425	3.64933	3.64933	3.64933	3.64933	3.64933	3.64933	3.64933	3.64933	3.64933	3.64933	0.0	0.0	1975$/GJ	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	electricity	nuclear	capital	Gen_II_LWR	7.55137	7.55137	7.55137	7.7985	7.7985	7.7985	7.7985	7.7985	7.7985	7.7985	7.7985	7.7985	7.7985	7.7985	7.7985	0.0	0.0	1975$/GJ	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	electricity	refined liquids	OM-var	refined liquids (CC CCS)	2.77743	2.77743	2.77743	2.77743	2.77743	2.77743	2.77743	2.77743	2.77743	2.77743	2.77743	2.77743	2.77743	2.77743	2.77743	0.0	0.0	1975$/GJ	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	electricity	refined liquids	OM-var	refined liquids (CC)	2.77743	2.77743	2.77743	2.77743	2.77743	2.77743	2.77743	2.77743	2.77743	2.77743	2.77743	2.77743	2.77743	2.77743	2.77743	0.0	0.0	1975$/GJ	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	electricity	refined liquids	OM-var	refined liquids (steam/CT)	2.77743	2.77743	2.77743	2.77743	2.77743	2.77743	2.77743	2.77743	2.77743	2.77743	2.77743	2.77743	2.77743	2.77743	2.77743	0.0	0.0	1975$/GJ	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	electricity	refined liquids	capital	refined liquids (CC CCS)	32.5893	32.5893	32.5893	32.5893	38.0209	38.0209	38.0209	38.0209	38.0209	38.0209	38.0209	38.0209	38.0209	38.0209	38.0209	0.0	0.0	1975$/GJ	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	electricity	refined liquids	capital	refined liquids (CC)	38.0209	38.0209	38.0209	38.0209	38.0209	38.0209	38.0209	38.0209	38.0209	38.0209	38.0209	38.0209	38.0209	38.0209	38.0209	0.0	0.0	1975$/GJ	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	electricity	refined liquids	capital	refined liquids (steam/CT)	38.0209	38.0209	38.0209	38.0209	38.0209	38.0209	38.0209	38.0209	38.0209	38.0209	38.0209	38.0209	38.0209	38.0209	38.0209	0.0	0.0	1975$/GJ	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	electricity	solar	OM-var	CSP	0.0	0.0	0.0	0.0	0.0	0.839864	0.899854	0.959844	1.07983	1.19981	1.31979	1.31979	1.31979	1.31979	1.31979	0.0	0.0	1975$/GJ	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	electricity	solar	OM-var	PV	0.0	0.0	0.0	0.0	0.0	0.839864	0.899854	0.959844	1.07983	1.19981	1.31979	1.31979	1.31979	1.31979	1.31979	0.0	0.0	1975$/GJ	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	electricity	solar	backup-cap-cost	PV	0.549671	0.686769	1.07012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1975$/GJ	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	electricity	solar	capital	CSP	8.54044	28.5157	48.9663	32.7173	32.7173	7.59041	7.32867	7.14872	7.05057	7.0015	6.95242	6.87063	6.80519	6.73976	6.67432	0.0	0.0	1975$/GJ	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	electricity	solar	capital	CSP_storage	15.709	15.709	15.709	6.43851	9.06788	10.9496	10.3824	9.93167	9.57208	9.2834	9.05549	8.86811	8.71617	8.59462	8.49332	0.0	0.0	1975$/GJ	
