"scenario","region","subRegion","param","classLabel1","class1","classLabel2","class2","xLabel","x","vintage","units","value"
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2020,"Vint_2020","CO2 emissions - (MTCO2)",-1.15704977666667e-07
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2025,"Vint_2025","CO2 emissions - (MTCO2)",-5.78560546666667e-06
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2030,"Vint_2030","CO2 emissions - (MTCO2)",-2.09270078746667e-05
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2035,"Vint_2035","CO2 emissions - (MTCO2)",-5.04298803066667e-05
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2040,"Vint_2040","CO2 emissions - (MTCO2)",-9.50656013633333e-05
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2045,"Vint_2045","CO2 emissions - (MTCO2)",-0.565142223975237
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2050,"Vint_2050","CO2 emissions - (MTCO2)",-1.269896088726
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2055,"Vint_2055","CO2 emissions - (MTCO2)",-2.03658812011982
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2060,"Vint_2060","CO2 emissions - (MTCO2)",-2.78675622963657
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2065,"Vint_2065","CO2 emissions - (MTCO2)",-3.39003869761195
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2070,"Vint_2070","CO2 emissions - (MTCO2)",-3.81145430635119
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2075,"Vint_2075","CO2 emissions - (MTCO2)",-4.06994853256581
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2080,"Vint_2080","CO2 emissions - (MTCO2)",-4.26994601293333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2085,"Vint_2085","CO2 emissions - (MTCO2)",-4.29911479066667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2090,"Vint_2090","CO2 emissions - (MTCO2)",-4.20134109193333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2095,"Vint_2095","CO2 emissions - (MTCO2)",-4.01745359546667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2100,"Vint_2100","CO2 emissions - (MTCO2)",-3.78038169043333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2045,"Vint_2045","CO2 emissions - (MTCO2)",-4.11737333333333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2050,"Vint_2050","CO2 emissions - (MTCO2)",-30.9649266666667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2055,"Vint_2055","CO2 emissions - (MTCO2)",-62.06684
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2060,"Vint_2060","CO2 emissions - (MTCO2)",-94.2304916666667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2065,"Vint_2065","CO2 emissions - (MTCO2)",-117.816783333333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2070,"Vint_2070","CO2 emissions - (MTCO2)",-130.348449
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2075,"Vint_2075","CO2 emissions - (MTCO2)",-134.924252833333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2080,"Vint_2080","CO2 emissions - (MTCO2)",-139.839460566667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2085,"Vint_2085","CO2 emissions - (MTCO2)",-144.355689866667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2090,"Vint_2090","CO2 emissions - (MTCO2)",-146.7691104
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2095,"Vint_2095","CO2 emissions - (MTCO2)",-146.582161
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2100,"Vint_2100","CO2 emissions - (MTCO2)",-144.9392483
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2045,"Vint_2045","CO2 emissions - (MTCO2)",-2.33066533333333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2050,"Vint_2050","CO2 emissions - (MTCO2)",-5.62201566666667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2055,"Vint_2055","CO2 emissions - (MTCO2)",-8.35416266666667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2060,"Vint_2060","CO2 emissions - (MTCO2)",-10.7076786666667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2065,"Vint_2065","CO2 emissions - (MTCO2)",-11.6792683333333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2070,"Vint_2070","CO2 emissions - (MTCO2)",-11.006116
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2075,"Vint_2075","CO2 emissions - (MTCO2)",-9.55150753333333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2080,"Vint_2080","CO2 emissions - (MTCO2)",-7.86259991
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2085,"Vint_2085","CO2 emissions - (MTCO2)",-6.70053563666667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2090,"Vint_2090","CO2 emissions - (MTCO2)",-5.99188800466667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2095,"Vint_2095","CO2 emissions - (MTCO2)",-5.6358777662
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2100,"Vint_2100","CO2 emissions - (MTCO2)",-5.5144516141
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",1975,"Vint_1975","CO2 emissions - (MTCO2)",-7.00197666666667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",1990,"Vint_1990","CO2 emissions - (MTCO2)",-9.72198333333333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2005,"Vint_2005","CO2 emissions - (MTCO2)",-27.20344
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2010,"Vint_2010","CO2 emissions - (MTCO2)",-22.1436966666667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2015,"Vint_2015","CO2 emissions - (MTCO2)",-28.03812
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2020,"Vint_2020","CO2 emissions - (MTCO2)",-29.47747
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2025,"Vint_2025","CO2 emissions - (MTCO2)",-33.0650833333333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2030,"Vint_2030","CO2 emissions - (MTCO2)",-36.2825833333333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2035,"Vint_2035","CO2 emissions - (MTCO2)",-39.7943333333333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2040,"Vint_2040","CO2 emissions - (MTCO2)",-43.7085
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2045,"Vint_2045","CO2 emissions - (MTCO2)",-58.729
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2050,"Vint_2050","CO2 emissions - (MTCO2)",-66.1815
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2055,"Vint_2055","CO2 emissions - (MTCO2)",-72.1361666666667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2060,"Vint_2060","CO2 emissions - (MTCO2)",-87.7517666666667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2065,"Vint_2065","CO2 emissions - (MTCO2)",-108.222033333333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2070,"Vint_2070","CO2 emissions - (MTCO2)",-130.4963
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2075,"Vint_2075","CO2 emissions - (MTCO2)",-130.0343
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2080,"Vint_2080","CO2 emissions - (MTCO2)",-145.026566666667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2085,"Vint_2085","CO2 emissions - (MTCO2)",-140.657733333333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2090,"Vint_2090","CO2 emissions - (MTCO2)",-132.925833333333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2095,"Vint_2095","CO2 emissions - (MTCO2)",-122.9514
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2100,"Vint_2100","CO2 emissions - (MTCO2)",-114.3494
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",1975,"Vint_1975","CO2 emissions - (MTCO2)",-1.93436466666667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",1990,"Vint_1990","CO2 emissions - (MTCO2)",-4.43127666666667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2005,"Vint_2005","CO2 emissions - (MTCO2)",-9.83125
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2010,"Vint_2010","CO2 emissions - (MTCO2)",-12.7102433333333
