"scenario","region","subRegion","sources","x","xLabel","vintage","units","value","aggregate","ghg","sector","classPalette1","classPalette2","origScen","origQuery","origValue","origUnits","origX","class2","class1","classLabel1","classLabel2","param"
"Policycosts_1","India","India","Sources",2020,"Year","Vint_2020","CO2 emissions - (MTCO2)",-1.15704977666667e-07,"sum","CO2","alumina","pal_all","pal_all","Policycosts_1","CO2 sequestration by sector",3.1555903e-08,"MTC",2020,NA,NA,NA,NA,NA
"Policycosts_1","India","India","Sources",2025,"Year","Vint_2025","CO2 emissions - (MTCO2)",-5.78560546666667e-06,"sum","CO2","alumina","pal_all","pal_all","Policycosts_1","CO2 sequestration by sector",1.5778924e-06,"MTC",2025,NA,NA,NA,NA,NA
"Policycosts_1","India","India","Sources",2030,"Year","Vint_2030","CO2 emissions - (MTCO2)",-2.09270078746667e-05,"sum","CO2","alumina","pal_all","pal_all","Policycosts_1","CO2 sequestration by sector",5.707365784e-06,"MTC",2030,NA,NA,NA,NA,NA
"Policycosts_1","India","India","Sources",2035,"Year","Vint_2035","CO2 emissions - (MTCO2)",-5.04298803066667e-05,"sum","CO2","alumina","pal_all","pal_all","Policycosts_1","CO2 sequestration by sector",1.375360372e-05,"MTC",2035,NA,NA,NA,NA,NA
"Policycosts_1","India","India","Sources",2040,"Year","Vint_2040","CO2 emissions - (MTCO2)",-9.50656013633333e-05,"sum","CO2","alumina","pal_all","pal_all","Policycosts_1","CO2 sequestration by sector",2.592698219e-05,"MTC",2040,NA,NA,NA,NA,NA
"Policycosts_1","India","India","Sources",2045,"Year","Vint_2045","CO2 emissions - (MTCO2)",-0.565142223975237,"sum","CO2","alumina","pal_all","pal_all","Policycosts_1","CO2 sequestration by sector",0.154129697447792,"MTC",2045,NA,NA,NA,NA,NA
"Policycosts_1","India","India","Sources",2050,"Year","Vint_2050","CO2 emissions - (MTCO2)",-1.269896088726,"sum","CO2","alumina","pal_all","pal_all","Policycosts_1","CO2 sequestration by sector",0.346335296925272,"MTC",2050,NA,NA,NA,NA,NA
"Policycosts_1","India","India","Sources",2055,"Year","Vint_2055","CO2 emissions - (MTCO2)",-2.03658812011982,"sum","CO2","alumina","pal_all","pal_all","Policycosts_1","CO2 sequestration by sector",0.555433123669042,"MTC",2055,NA,NA,NA,NA,NA
"Policycosts_1","India","India","Sources",2060,"Year","Vint_2060","CO2 emissions - (MTCO2)",-2.78675622963657,"sum","CO2","alumina","pal_all","pal_all","Policycosts_1","CO2 sequestration by sector",0.760024426264519,"MTC",2060,NA,NA,NA,NA,NA
"Policycosts_1","India","India","Sources",2065,"Year","Vint_2065","CO2 emissions - (MTCO2)",-3.39003869761195,"sum","CO2","alumina","pal_all","pal_all","Policycosts_1","CO2 sequestration by sector",0.924556008439623,"MTC",2065,NA,NA,NA,NA,NA
"Policycosts_1","India","India","Sources",2070,"Year","Vint_2070","CO2 emissions - (MTCO2)",-3.81145430635119,"sum","CO2","alumina","pal_all","pal_all","Policycosts_1","CO2 sequestration by sector",1.03948753809578,"MTC",2070,NA,NA,NA,NA,NA
"Policycosts_1","India","India","Sources",2075,"Year","Vint_2075","CO2 emissions - (MTCO2)",-4.06994853256581,"sum","CO2","alumina","pal_all","pal_all","Policycosts_1","CO2 sequestration by sector",1.10998596342704,"MTC",2075,NA,NA,NA,NA,NA
"Policycosts_1","India","India","Sources",2080,"Year","Vint_2080","CO2 emissions - (MTCO2)",-4.26994601293333,"sum","CO2","alumina","pal_all","pal_all","Policycosts_1","CO2 sequestration by sector",1.1645307308,"MTC",2080,NA,NA,NA,NA,NA
"Policycosts_1","India","India","Sources",2085,"Year","Vint_2085","CO2 emissions - (MTCO2)",-4.29911479066667,"sum","CO2","alumina","pal_all","pal_all","Policycosts_1","CO2 sequestration by sector",1.172485852,"MTC",2085,NA,NA,NA,NA,NA
"Policycosts_1","India","India","Sources",2090,"Year","Vint_2090","CO2 emissions - (MTCO2)",-4.20134109193333,"sum","CO2","alumina","pal_all","pal_all","Policycosts_1","CO2 sequestration by sector",1.1458202978,"MTC",2090,NA,NA,NA,NA,NA
"Policycosts_1","India","India","Sources",2095,"Year","Vint_2095","CO2 emissions - (MTCO2)",-4.01745359546667,"sum","CO2","alumina","pal_all","pal_all","Policycosts_1","CO2 sequestration by sector",1.0956691624,"MTC",2095,NA,NA,NA,NA,NA
"Policycosts_1","India","India","Sources",2100,"Year","Vint_2100","CO2 emissions - (MTCO2)",-3.78038169043333,"sum","CO2","alumina","pal_all","pal_all","Policycosts_1","CO2 sequestration by sector",1.0310131883,"MTC",2100,NA,NA,NA,NA,NA
"Policycosts_1","India","India","Sources",2045,"Year","Vint_2045","CO2 emissions - (MTCO2)",-4.11737333333333,"sum","CO2","cement","pal_all","pal_all","Policycosts_1","CO2 sequestration by sector",1.12292,"MTC",2045,NA,NA,NA,NA,NA
"Policycosts_1","India","India","Sources",2050,"Year","Vint_2050","CO2 emissions - (MTCO2)",-30.9649266666667,"sum","CO2","cement","pal_all","pal_all","Policycosts_1","CO2 sequestration by sector",8.44498,"MTC",2050,NA,NA,NA,NA,NA
"Policycosts_1","India","India","Sources",2055,"Year","Vint_2055","CO2 emissions - (MTCO2)",-62.06684,"sum","CO2","cement","pal_all","pal_all","Policycosts_1","CO2 sequestration by sector",16.92732,"MTC",2055,NA,NA,NA,NA,NA
