"scenario","region","subRegion","param","xLabel","x","vintage","units","value"
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2010,"vint_2010","CO2 (GTC)",0.493331514331
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2011,"vint_2011","CO2 (GTC)",1.0130313383158
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2012,"vint_2012","CO2 (GTC)",1.5590994719544
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2013,"vint_2013","CO2 (GTC)",2.1315359152468
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2014,"vint_2014","CO2 (GTC)",2.730340668193
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2015,"vint_2015","CO2 (GTC)",3.355513730793
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2016,"vint_2016","CO2 (GTC)",3.99967168611502
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2017,"vint_2017","CO2 (GTC)",4.66281453415906
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2018,"vint_2018","CO2 (GTC)",5.34494227492512
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2019,"vint_2019","CO2 (GTC)",6.0460549084132
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2020,"vint_2020","CO2 (GTC)",6.76615243462329
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2021,"vint_2021","CO2 (GTC)",7.52253300770567
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2022,"vint_2022","CO2 (GTC)",8.31519662766033
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2023,"vint_2023","CO2 (GTC)",9.14414329448726
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2024,"vint_2024","CO2 (GTC)",10.0093730081865
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2025,"vint_2025","CO2 (GTC)",10.910885768758
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2026,"vint_2026","CO2 (GTC)",11.8557554667673
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2027,"vint_2027","CO2 (GTC)",12.8439821022143
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2028,"vint_2028","CO2 (GTC)",13.8755656750992
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2029,"vint_2029","CO2 (GTC)",14.9505061854219
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2030,"vint_2030","CO2 (GTC)",16.0688036331824
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2031,"vint_2031","CO2 (GTC)",17.2330112255744
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2032,"vint_2032","CO2 (GTC)",18.443128962598
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2033,"vint_2033","CO2 (GTC)",19.6991568442532
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2034,"vint_2034","CO2 (GTC)",21.0010948705399
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2035,"vint_2035","CO2 (GTC)",22.3489430414582
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2036,"vint_2036","CO2 (GTC)",23.743380340349
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2037,"vint_2037","CO2 (GTC)",25.1844067672122
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2038,"vint_2038","CO2 (GTC)",26.6720223220479
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2039,"vint_2039","CO2 (GTC)",28.2062270048562
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2040,"vint_2040","CO2 (GTC)",29.7870208156369
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2041,"vint_2041","CO2 (GTC)",31.2918558546033
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2042,"vint_2042","CO2 (GTC)",32.7207321217556
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2043,"vint_2043","CO2 (GTC)",34.0736496170937
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2044,"vint_2044","CO2 (GTC)",35.3506083406175
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2045,"vint_2045","CO2 (GTC)",36.5516082923272
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2046,"vint_2046","CO2 (GTC)",37.7060081995353
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2047,"vint_2047","CO2 (GTC)",38.8138080622419
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2048,"vint_2048","CO2 (GTC)",39.875007880447
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2049,"vint_2049","CO2 (GTC)",40.8896076541506
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2050,"vint_2050","CO2 (GTC)",41.8576073833527
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2051,"vint_2051","CO2 (GTC)",42.7772070695265
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2052,"vint_2052","CO2 (GTC)",43.6484067126722
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2053,"vint_2053","CO2 (GTC)",44.4712063127896
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2054,"vint_2054","CO2 (GTC)",45.2456058698788
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2055,"vint_2055","CO2 (GTC)",45.9716053839398
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2056,"vint_2056","CO2 (GTC)",46.6492049596903
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2057,"vint_2057","CO2 (GTC)",47.2784045971303
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2058,"vint_2058","CO2 (GTC)",47.8592042962597
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2059,"vint_2059","CO2 (GTC)",48.3916040570787
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2060,"vint_2060","CO2 (GTC)",48.8756038795872
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2061,"vint_2061","CO2 (GTC)",49.3112039462256
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2062,"vint_2062","CO2 (GTC)",49.698404256994
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2063,"vint_2063","CO2 (GTC)",50.0372048118923
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2064,"vint_2064","CO2 (GTC)",50.3276056109206
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2065,"vint_2065","CO2 (GTC)",50.5696066540788
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2066,"vint_2066","CO2 (GTC)",50.7632095003776
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2067,"vint_2067","CO2 (GTC)",50.908414149817
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2068,"vint_2068","CO2 (GTC)",51.0052206023969
"Policycosts_1","Global","Global","emissCO2CumGlobal2010to2100","year",2069,"vint_2069","CO2 (GTC)",51.0536288581174
