sector-name,subsector-name,technology,year
N fertilizer,coal,coal CCS,1975
N fertilizer,coal,coal CCS,1990
N fertilizer,coal,coal CCS,2005
N fertilizer,coal,coal CCS,2010
N fertilizer,coal,coal CCS,2015
N fertilizer,coal,coal CCS,2020
N fertilizer,coal,coal CCS,2025
N fertilizer,coal,coal CCS,2030
N fertilizer,coal,coal CCS,2035
N fertilizer,coal,coal CCS,2040
N fertilizer,coal,coal CCS,2045
N fertilizer,coal,coal CCS,2050
N fertilizer,coal,coal CCS,2055
N fertilizer,coal,coal CCS,2060
N fertilizer,coal,coal CCS,2065
N fertilizer,coal,coal CCS,2070
N fertilizer,coal,coal CCS,2075
N fertilizer,coal,coal CCS,2080
N fertilizer,coal,coal CCS,2085
N fertilizer,coal,coal CCS,2090
N fertilizer,coal,coal CCS,2095
N fertilizer,coal,coal CCS,2100
N fertilizer,coal,coal,1975
N fertilizer,coal,coal,1990
N fertilizer,coal,coal,2005
N fertilizer,coal,coal,2010
N fertilizer,coal,coal,2015
N fertilizer,coal,coal,2020
N fertilizer,coal,coal,2025
N fertilizer,coal,coal,2030
N fertilizer,coal,coal,2035
N fertilizer,coal,coal,2040
N fertilizer,coal,coal,2045
N fertilizer,coal,coal,2050
N fertilizer,coal,coal,2055
N fertilizer,coal,coal,2060
N fertilizer,coal,coal,2065
N fertilizer,coal,coal,2070
N fertilizer,coal,coal,2075
N fertilizer,coal,coal,2080
N fertilizer,coal,coal,2085
N fertilizer,coal,coal,2090
N fertilizer,coal,coal,2095
N fertilizer,coal,coal,2100
N fertilizer,gas,gas,1975
N fertilizer,gas,gas,1990
N fertilizer,gas,gas,2005
N fertilizer,gas,gas,2010
N fertilizer,gas,gas,2015
N fertilizer,gas,gas,2020
N fertilizer,gas,gas,2025
N fertilizer,gas,gas,2030
N fertilizer,gas,gas,2035
N fertilizer,gas,gas,2040
N fertilizer,gas,gas,2045
N fertilizer,gas,gas,2050
N fertilizer,gas,gas,2055
N fertilizer,gas,gas,2060
N fertilizer,gas,gas,2065
N fertilizer,gas,gas,2070
N fertilizer,gas,gas,2075
N fertilizer,gas,gas,2080
N fertilizer,gas,gas,2085
N fertilizer,gas,gas,2090
N fertilizer,gas,gas,2095
N fertilizer,gas,gas,2100
N fertilizer,gas,gas CCS,1975
N fertilizer,gas,gas CCS,1990
N fertilizer,gas,gas CCS,2005
N fertilizer,gas,gas CCS,2010
N fertilizer,gas,gas CCS,2015
N fertilizer,gas,gas CCS,2020
N fertilizer,gas,gas CCS,2025
N fertilizer,gas,gas CCS,2030
N fertilizer,gas,gas CCS,2035
N fertilizer,gas,gas CCS,2040
N fertilizer,gas,gas CCS,2045
N fertilizer,gas,gas CCS,2050
N fertilizer,gas,gas CCS,2055
N fertilizer,gas,gas CCS,2060
N fertilizer,gas,gas CCS,2065
N fertilizer,gas,gas CCS,2070
N fertilizer,gas,gas CCS,2075
N fertilizer,gas,gas CCS,2080
N fertilizer,gas,gas CCS,2085
N fertilizer,gas,gas CCS,2090
N fertilizer,gas,gas CCS,2095
N fertilizer,gas,gas CCS,2100
N fertilizer,hydrogen,hydrogen,1975
N fertilizer,hydrogen,hydrogen,1990
N fertilizer,hydrogen,hydrogen,2005
N fertilizer,hydrogen,hydrogen,2010
N fertilizer,hydrogen,hydrogen,2015
N fertilizer,hydrogen,hydrogen,2020
N fertilizer,hydrogen,hydrogen,2025
N fertilizer,hydrogen,hydrogen,2030
N fertilizer,hydrogen,hydrogen,2035
N fertilizer,hydrogen,hydrogen,2040
N fertilizer,hydrogen,hydrogen,2045
N fertilizer,hydrogen,hydrogen,2050
N fertilizer,hydrogen,hydrogen,2055
N fertilizer,hydrogen,hydrogen,2060
N fertilizer,hydrogen,hydrogen,2065
N fertilizer,hydrogen,hydrogen,2070
N fertilizer,hydrogen,hydrogen,2075
N fertilizer,hydrogen,hydrogen,2080
N fertilizer,hydrogen,hydrogen,2085
N fertilizer,hydrogen,hydrogen,2090
N fertilizer,hydrogen,hydrogen,2095
N fertilizer,hydrogen,hydrogen,2100
N fertilizer,refined liquids,refined liquids,1975
N fertilizer,refined liquids,refined liquids,1990
N fertilizer,refined liquids,refined liquids,2005
N fertilizer,refined liquids,refined liquids,2010
N fertilizer,refined liquids,refined liquids,2015
N fertilizer,refined liquids,refined liquids,2020
N fertilizer,refined liquids,refined liquids,2025
N fertilizer,refined liquids,refined liquids,2030
N fertilizer,refined liquids,refined liquids,2035
N fertilizer,refined liquids,refined liquids,2040
N fertilizer,refined liquids,refined liquids,2045
N fertilizer,refined liquids,refined liquids,2050
N fertilizer,refined liquids,refined liquids,2055
N fertilizer,refined liquids,refined liquids,2060
N fertilizer,refined liquids,refined liquids,2065
N fertilizer,refined liquids,refined liquids,2070
N fertilizer,refined liquids,refined liquids,2075
N fertilizer,refined liquids,refined liquids,2080
N fertilizer,refined liquids,refined liquids,2085
N fertilizer,refined liquids,refined liquids,2090
N fertilizer,refined liquids,refined liquids,2095
N fertilizer,refined liquids,refined liquids,2100
