sector-name,subsector-name,technology,year
cement,cement,cement,1975
cement,cement,cement,1990
cement,cement,cement,2005
cement,cement,cement,2010
cement,cement,cement,2015
cement,cement,cement,2020
cement,cement,cement,2025
cement,cement,cement,2030
cement,cement,cement,2035
cement,cement,cement,2040
cement,cement,cement,2045
cement,cement,cement,2050
cement,cement,cement,2055
cement,cement,cement,2060
cement,cement,cement,2065
cement,cement,cement,2070
cement,cement,cement,2075
cement,cement,cement,2080
cement,cement,cement,2085
cement,cement,cement,2090
cement,cement,cement,2095
cement,cement,cement,2100
cement,cement,cement CCS,1975
cement,cement,cement CCS,1990
cement,cement,cement CCS,2005
cement,cement,cement CCS,2010
cement,cement,cement CCS,2015
cement,cement,cement CCS,2020
cement,cement,cement CCS,2025
cement,cement,cement CCS,2030
cement,cement,cement CCS,2035
cement,cement,cement CCS,2040
cement,cement,cement CCS,2045
cement,cement,cement CCS,2050
cement,cement,cement CCS,2055
cement,cement,cement CCS,2060
cement,cement,cement CCS,2065
cement,cement,cement CCS,2070
cement,cement,cement CCS,2075
cement,cement,cement CCS,2080
cement,cement,cement CCS,2085
cement,cement,cement CCS,2090
cement,cement,cement CCS,2095
cement,cement,cement CCS,2100
process heat cement,biomass,biomass,1975
process heat cement,biomass,biomass,1990
process heat cement,biomass,biomass,2005
process heat cement,biomass,biomass,2010
process heat cement,biomass,biomass,2015
process heat cement,biomass,biomass,2020
process heat cement,biomass,biomass,2025
process heat cement,biomass,biomass,2030
process heat cement,biomass,biomass,2035
process heat cement,biomass,biomass,2040
process heat cement,biomass,biomass,2045
process heat cement,biomass,biomass,2050
process heat cement,biomass,biomass,2055
process heat cement,biomass,biomass,2060
process heat cement,biomass,biomass,2065
process heat cement,biomass,biomass,2070
process heat cement,biomass,biomass,2075
process heat cement,biomass,biomass,2080
process heat cement,biomass,biomass,2085
process heat cement,biomass,biomass,2090
process heat cement,biomass,biomass,2095
process heat cement,biomass,biomass,2100
process heat cement,coal,coal,1975
process heat cement,coal,coal,1990
process heat cement,coal,coal,2005
process heat cement,coal,coal,2010
process heat cement,coal,coal,2015
process heat cement,coal,coal,2020
process heat cement,coal,coal,2025
process heat cement,coal,coal,2030
process heat cement,coal,coal,2035
process heat cement,coal,coal,2040
process heat cement,coal,coal,2045
process heat cement,coal,coal,2050
process heat cement,coal,coal,2055
process heat cement,coal,coal,2060
process heat cement,coal,coal,2065
process heat cement,coal,coal,2070
process heat cement,coal,coal,2075
process heat cement,coal,coal,2080
process heat cement,coal,coal,2085
process heat cement,coal,coal,2090
process heat cement,coal,coal,2095
process heat cement,coal,coal,2100
process heat cement,gas,gas,1975
process heat cement,gas,gas,1990
process heat cement,gas,gas,2005
process heat cement,gas,gas,2010
process heat cement,gas,gas,2015
process heat cement,gas,gas,2020
process heat cement,gas,gas,2025
process heat cement,gas,gas,2030
process heat cement,gas,gas,2035
process heat cement,gas,gas,2040
process heat cement,gas,gas,2045
process heat cement,gas,gas,2050
process heat cement,gas,gas,2055
process heat cement,gas,gas,2060
process heat cement,gas,gas,2065
process heat cement,gas,gas,2070
process heat cement,gas,gas,2075
process heat cement,gas,gas,2080
process heat cement,gas,gas,2085
process heat cement,gas,gas,2090
process heat cement,gas,gas,2095
process heat cement,gas,gas,2100
process heat cement,refined liquids,refined liquids,1975
process heat cement,refined liquids,refined liquids,1990
process heat cement,refined liquids,refined liquids,2005
process heat cement,refined liquids,refined liquids,2010
process heat cement,refined liquids,refined liquids,2015
process heat cement,refined liquids,refined liquids,2020
process heat cement,refined liquids,refined liquids,2025
process heat cement,refined liquids,refined liquids,2030
process heat cement,refined liquids,refined liquids,2035
process heat cement,refined liquids,refined liquids,2040
process heat cement,refined liquids,refined liquids,2045
process heat cement,refined liquids,refined liquids,2050
process heat cement,refined liquids,refined liquids,2055
process heat cement,refined liquids,refined liquids,2060
process heat cement,refined liquids,refined liquids,2065
process heat cement,refined liquids,refined liquids,2070
process heat cement,refined liquids,refined liquids,2075
process heat cement,refined liquids,refined liquids,2080
process heat cement,refined liquids,refined liquids,2085
process heat cement,refined liquids,refined liquids,2090
process heat cement,refined liquids,refined liquids,2095
process heat cement,refined liquids,refined liquids,2100
process heat cement,hydrogen,hydrogen,1975
process heat cement,hydrogen,hydrogen,1990
process heat cement,hydrogen,hydrogen,2005
process heat cement,hydrogen,hydrogen,2010
process heat cement,hydrogen,hydrogen,2015
process heat cement,hydrogen,hydrogen,2020
process heat cement,hydrogen,hydrogen,2025
process heat cement,hydrogen,hydrogen,2030
process heat cement,hydrogen,hydrogen,2035
process heat cement,hydrogen,hydrogen,2040
process heat cement,hydrogen,hydrogen,2045
process heat cement,hydrogen,hydrogen,2050
process heat cement,hydrogen,hydrogen,2055
process heat cement,hydrogen,hydrogen,2060
process heat cement,hydrogen,hydrogen,2065
process heat cement,hydrogen,hydrogen,2070
process heat cement,hydrogen,hydrogen,2075
process heat cement,hydrogen,hydrogen,2080
process heat cement,hydrogen,hydrogen,2085
process heat cement,hydrogen,hydrogen,2090
process heat cement,hydrogen,hydrogen,2095
process heat cement,hydrogen,hydrogen,2100
