sector-name,subsector-name,technology,year
comm heating,biomass,biomass,1975
comm heating,biomass,biomass,1990
comm heating,biomass,biomass,2005
comm heating,biomass,biomass,2010
comm heating,biomass,biomass,2015
comm heating,biomass,biomass,2020
comm heating,biomass,biomass,2025
comm heating,biomass,biomass,2030
comm heating,biomass,biomass,2035
comm heating,biomass,biomass,2040
comm heating,biomass,biomass,2045
comm heating,biomass,biomass,2050
comm heating,biomass,biomass,2055
comm heating,biomass,biomass,2060
comm heating,biomass,biomass,2065
comm heating,biomass,biomass,2070
comm heating,biomass,biomass,2075
comm heating,biomass,biomass,2080
comm heating,biomass,biomass,2085
comm heating,biomass,biomass,2090
comm heating,biomass,biomass,2095
comm heating,biomass,biomass,2100
comm heating,coal,coal,1975
comm heating,coal,coal,1990
comm heating,coal,coal,2005
comm heating,coal,coal,2010
comm heating,coal,coal,2015
comm heating,coal,coal,2020
comm heating,coal,coal,2025
comm heating,coal,coal,2030
comm heating,coal,coal,2035
comm heating,coal,coal,2040
comm heating,coal,coal,2045
comm heating,coal,coal,2050
comm heating,coal,coal,2055
comm heating,coal,coal,2060
comm heating,coal,coal,2065
comm heating,coal,coal,2070
comm heating,coal,coal,2075
comm heating,coal,coal,2080
comm heating,coal,coal,2085
comm heating,coal,coal,2090
comm heating,coal,coal,2095
comm heating,coal,coal,2100
comm heating,electricity,electricity,1975
comm heating,electricity,electricity,1990
comm heating,electricity,electricity,2005
comm heating,electricity,electricity,2010
comm heating,electricity,electricity,2015
comm heating,electricity,electricity,2020
comm heating,electricity,electricity,2025
comm heating,electricity,electricity,2030
comm heating,electricity,electricity,2035
comm heating,electricity,electricity,2040
comm heating,electricity,electricity,2045
comm heating,electricity,electricity,2050
comm heating,electricity,electricity,2055
comm heating,electricity,electricity,2060
comm heating,electricity,electricity,2065
comm heating,electricity,electricity,2070
comm heating,electricity,electricity,2075
comm heating,electricity,electricity,2080
comm heating,electricity,electricity,2085
comm heating,electricity,electricity,2090
comm heating,electricity,electricity,2095
comm heating,electricity,electricity,2100
comm heating,gas,gas,1975
comm heating,gas,gas,1990
comm heating,gas,gas,2005
comm heating,gas,gas,2010
comm heating,gas,gas,2015
comm heating,gas,gas,2020
comm heating,gas,gas,2025
comm heating,gas,gas,2030
comm heating,gas,gas,2035
comm heating,gas,gas,2040
comm heating,gas,gas,2045
comm heating,gas,gas,2050
comm heating,gas,gas,2055
comm heating,gas,gas,2060
comm heating,gas,gas,2065
comm heating,gas,gas,2070
comm heating,gas,gas,2075
comm heating,gas,gas,2080
comm heating,gas,gas,2085
comm heating,gas,gas,2090
comm heating,gas,gas,2095
comm heating,gas,gas,2100
comm heating,refined liquids,refined liquids,1975
comm heating,refined liquids,refined liquids,1990
comm heating,refined liquids,refined liquids,2005
comm heating,refined liquids,refined liquids,2010
comm heating,refined liquids,refined liquids,2015
comm heating,refined liquids,refined liquids,2020
comm heating,refined liquids,refined liquids,2025
comm heating,refined liquids,refined liquids,2030
comm heating,refined liquids,refined liquids,2035
comm heating,refined liquids,refined liquids,2040
comm heating,refined liquids,refined liquids,2045
comm heating,refined liquids,refined liquids,2050
comm heating,refined liquids,refined liquids,2055
comm heating,refined liquids,refined liquids,2060
comm heating,refined liquids,refined liquids,2065
comm heating,refined liquids,refined liquids,2070
comm heating,refined liquids,refined liquids,2075
comm heating,refined liquids,refined liquids,2080
comm heating,refined liquids,refined liquids,2085
comm heating,refined liquids,refined liquids,2090
comm heating,refined liquids,refined liquids,2095
comm heating,refined liquids,refined liquids,2100
comm heating,district heat,district heat,1975
comm heating,district heat,district heat,1990
comm heating,district heat,district heat,2005
comm heating,district heat,district heat,2010
comm heating,district heat,district heat,2015
comm heating,district heat,district heat,2020
comm heating,district heat,district heat,2025
comm heating,district heat,district heat,2030
comm heating,district heat,district heat,2035
comm heating,district heat,district heat,2040
comm heating,district heat,district heat,2045
comm heating,district heat,district heat,2050
comm heating,district heat,district heat,2055
comm heating,district heat,district heat,2060
comm heating,district heat,district heat,2065
comm heating,district heat,district heat,2070
comm heating,district heat,district heat,2075
comm heating,district heat,district heat,2080
comm heating,district heat,district heat,2085
comm heating,district heat,district heat,2090
comm heating,district heat,district heat,2095
comm heating,district heat,district heat,2100
comm heating,gas,hydrogen,1975
comm heating,gas,hydrogen,1990
comm heating,gas,hydrogen,2005
comm heating,gas,hydrogen,2010
comm heating,gas,hydrogen,2015
comm heating,gas,hydrogen,2020
comm heating,gas,hydrogen,2025
comm heating,gas,hydrogen,2030
comm heating,gas,hydrogen,2035
comm heating,gas,hydrogen,2040
comm heating,gas,hydrogen,2045
comm heating,gas,hydrogen,2050
comm heating,gas,hydrogen,2055
comm heating,gas,hydrogen,2060
comm heating,gas,hydrogen,2065
comm heating,gas,hydrogen,2070
