sector-name,subsector-name,technology,year
iron and steel,BLASTFUR,BLASTFUR,1975
iron and steel,BLASTFUR,BLASTFUR,1990
iron and steel,BLASTFUR,BLASTFUR,2005
iron and steel,BLASTFUR,BLASTFUR,2010
iron and steel,BLASTFUR,BLASTFUR,2015
iron and steel,BLASTFUR,BLASTFUR,2020
iron and steel,BLASTFUR,BLASTFUR,2025
iron and steel,BLASTFUR,BLASTFUR,2030
iron and steel,BLASTFUR,BLASTFUR,2035
iron and steel,BLASTFUR,BLASTFUR,2040
iron and steel,BLASTFUR,BLASTFUR,2045
iron and steel,BLASTFUR,BLASTFUR,2050
iron and steel,BLASTFUR,BLASTFUR,2055
iron and steel,BLASTFUR,BLASTFUR,2060
iron and steel,BLASTFUR,BLASTFUR,2065
iron and steel,BLASTFUR,BLASTFUR,2070
iron and steel,BLASTFUR,BLASTFUR,2075
iron and steel,BLASTFUR,BLASTFUR,2080
iron and steel,BLASTFUR,BLASTFUR,2085
iron and steel,BLASTFUR,BLASTFUR,2090
iron and steel,BLASTFUR,BLASTFUR,2095
iron and steel,BLASTFUR,BLASTFUR,2100
iron and steel,BLASTFUR,BLASTFUR CCS,1975
iron and steel,BLASTFUR,BLASTFUR CCS,1990
iron and steel,BLASTFUR,BLASTFUR CCS,2005
iron and steel,BLASTFUR,BLASTFUR CCS,2010
iron and steel,BLASTFUR,BLASTFUR CCS,2015
iron and steel,BLASTFUR,BLASTFUR CCS,2020
iron and steel,BLASTFUR,BLASTFUR CCS,2025
iron and steel,BLASTFUR,BLASTFUR CCS,2030
iron and steel,BLASTFUR,BLASTFUR CCS,2035
iron and steel,BLASTFUR,BLASTFUR CCS,2040
iron and steel,BLASTFUR,BLASTFUR CCS,2045
iron and steel,BLASTFUR,BLASTFUR CCS,2050
iron and steel,BLASTFUR,BLASTFUR CCS,2055
iron and steel,BLASTFUR,BLASTFUR CCS,2060
iron and steel,BLASTFUR,BLASTFUR CCS,2065
iron and steel,BLASTFUR,BLASTFUR CCS,2070
iron and steel,BLASTFUR,BLASTFUR CCS,2075
iron and steel,BLASTFUR,BLASTFUR CCS,2080
iron and steel,BLASTFUR,BLASTFUR CCS,2085
iron and steel,BLASTFUR,BLASTFUR CCS,2090
iron and steel,BLASTFUR,BLASTFUR CCS,2095
iron and steel,BLASTFUR,BLASTFUR CCS,2100
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,1975
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,1990
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2005
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2010
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2015
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2020
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2025
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2030
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2035
