sector,year,value
Aluminium,2020,0.96
Aluminium,2025,2.112070459139475
Aluminium,2030,3.2641409182789496
Aluminium,2035,4.416211377418424
Aluminium,2040,5.568281836557899
Aluminium,2045,6.720352295697374
Aluminium,2050,7.872422754836848
Cement,2020,49.22
Cement,2025,56.09057553956835
Cement,2030,62.96115107913669
Cement,2035,69.83172661870503
Cement,2040,76.70230215827338
Cement,2045,83.57287769784173
Cement,2050,90.44345323741007
Fertilizer,2020,10.7
Fertilizer,2025,11.30166072768192
Fertilizer,2030,11.90332145536384
Fertilizer,2035,12.504982183045758
Fertilizer,2040,13.106642910727679
Fertilizer,2045,13.7083036384096
Fertilizer,2050,14.309964366091519
Iron and Steel,2020,95.73
Iron and Steel,2025,104.4147124442241
Iron and Steel,2030,113.09942488844818
Iron and Steel,2035,121.78413733267227
Iron and Steel,2040,130.46884977689638
Iron and Steel,2045,139.15356222112047
Iron and Steel,2050,147.83827466534456
Petroleum Refinery,2020,11.11
Petroleum Refinery,2025,13.883162050812542
Petroleum Refinery,2030,16.656324101625085
Petroleum Refinery,2035,19.429486152437626
Petroleum Refinery,2040,22.20264820325017
Petroleum Refinery,2045,24.975810254062715
Petroleum Refinery,2050,27.748972304875256
Thermal Power Plant,2020,336.98
Thermal Power Plant,2025,421.5794321690467
Thermal Power Plant,2030,506.1788643380934
Thermal Power Plant,2035,590.7782965071401
Thermal Power Plant,2040,675.3777286761867
Thermal Power Plant,2045,759.9771608452334
Thermal Power Plant,2050,844.5765930142801
